policy,workload,iterations,trial,workers,elapsed_s,throughput,steal_attempts,successful_steals
random,imbalanced,1000,10,16,0.911,1097664,889408,93122
random,imbalanced,1000,2,1,3.341,299319,0,0
random,imbalanced,1000,2,2,1.618,617965,210797,210797
random,imbalanced,1000,2,4,0.889,1124957,486164,233902
random,imbalanced,1000,2,8,1.168,856139,1014081,390092
random,imbalanced,1000,2,16,0.775,1289902,696872,114322
random,imbalanced,1000,3,1,3.314,301726,0,0
random,imbalanced,1000,3,2,1.599,625270,212040,212040
random,imbalanced,1000,3,4,0.882,1134226,488040,248752
random,imbalanced,1000,3,8,5.382,185806,4423446,798590
random,imbalanced,1000,3,16,1.107,903452,1295697,362521
random,imbalanced,1000,4,1,3.35,298510,0,0
random,imbalanced,1000,4,2,1.606,622754,214378,214377
random,imbalanced,1000,4,4,0.913,1095339,480963,229329
random,imbalanced,1000,4,8,5.182,192976,4421931,794593
random,imbalanced,1000,4,16,0.749,1334469,676503,273778
random,imbalanced,1000,5,1,3.333,300030,0,0
random,imbalanced,1000,5,2,1.581,632385,216278,216278
random,imbalanced,1000,5,4,0.882,1134170,488060,231537
random,imbalanced,1000,5,8,0.747,1338916,618042,268336
random,imbalanced,1000,5,16,0.75,1332531,676610,63416
random,imbalanced,1000,6,1,3.404,293746,0,0
random,imbalanced,1000,6,2,1.597,626117,210578,210578
random,imbalanced,1000,6,4,0.874,1143831,489331,239585
random,imbalanced,1000,6,8,0.727,1374848,619027,280462
random,imbalanced,1000,6,16,0.753,1328347,674883,115339
random,imbalanced,1000,7,1,3.397,294412,0,0
random,imbalanced,1000,7,2,1.631,612961,209745,209745
random,imbalanced,1000,7,4,0.899,1111997,481250,234775
random,imbalanced,1000,7,8,3.811,262364,3201856,656060
random,imbalanced,1000,7,16,1.001,998673,984963,305119
random,imbalanced,1000,8,1,3.413,292965,0,0
random,imbalanced,1000,8,2,1.631,612977,214727,214727
random,imbalanced,1000,8,4,0.871,1147642,491307,240678
random,imbalanced,1000,8,8,3.093,323318,2620234,583719
random,imbalanced,1000,8,16,0.835,1198239,796117,290552
random,imbalanced,1000,9,1,3.52,284065,0,0
random,imbalanced,1000,9,2,1.637,611050,208973,208973
random,imbalanced,1000,9,4,0.877,1140673,487775,239139
random,imbalanced,1000,9,8,4.717,211989,3959312,747159
random,imbalanced,1000,9,16,0.811,1232596,761252,323405
random,imbalanced,100,1,1,1.96,510075,0,0
random,imbalanced,100,1,2,1.025,976027,107125,104941
random,imbalanced,100,1,4,4.171,239744,1155881,482754
random,imbalanced,100,1,8,5.709,175162,4783133,811679
random,imbalanced,100,1,16,1.249,800765,1559275,277860
random,imbalanced,100,10,1,1.384,722580,0,0
random,imbalanced,100,10,2,0.794,1260124,124614,121992
random,imbalanced,100,10,4,4.789,208808,1386851,553596
random,imbalanced,100,10,8,5.381,185826,4732163,809804
random,imbalanced,100,10,16,2.572,388738,4327627,524271
random,imbalanced,100,2,1,1.336,748332,0,0
random,imbalanced,100,2,2,0.629,1589925,104396,103737
random,imbalanced,100,2,4,3.584,279030,1004492,427982
random,imbalanced,100,2,8,3.483,287090,2878871,537096
random,imbalanced,100,2,16,0.629,1589034,234128,99581
random,imbalanced,100,3,1,1.458,685649,0,0
random,imbalanced,100,3,2,0.794,1259670,110643,108161
random,imbalanced,100,3,4,4.898,204153,1460452,577297
random,imbalanced,100,3,8,5.236,190990,4711611,816299
random,imbalanced,100,3,16,1.703,587094,2352154,376559
random,imbalanced,100,4,1,1.397,715853,0,0
random,imbalanced,100,4,2,1.02,980594,168653,168286
random,imbalanced,100,4,4,5.387,185640,1484512,598262
random,imbalanced,100,4,8,5.538,180565,4735703,807047
random,imbalanced,100,4,16,1.15,869942,1355381,280377
random,imbalanced,100,5,1,1.439,694724,0,0
random,imbalanced,100,5,2,0.853,1172838,127617,123896
random,imbalanced,100,5,4,6.819,146659,1714097,647742
random,imbalanced,100,5,8,5.891,169740,4750722,815076
random,imbalanced,100,5,16,1.797,556622,2024777,271463
random,imbalanced,100,6,1,1.496,668648,0,0
random,imbalanced,100,6,2,0.75,1333215,104247,102456
random,imbalanced,100,6,4,3.343,299091,1043615,445953
random,imbalanced,100,6,8,5.478,182538,4646829,802162
random,imbalanced,100,6,16,0.948,1055046,657524,166902
random,imbalanced,100,7,1,1.44,694338,0,0
random,imbalanced,100,7,2,0.844,1184369,137220,133768
random,imbalanced,100,7,4,5.8,172427,1536617,606206
random,imbalanced,100,7,8,5.432,184087,4717005,810703
random,imbalanced,100,7,16,1.764,566979,2460345,351033
random,imbalanced,100,8,1,1.503,665122,0,0
random,imbalanced,100,8,2,0.889,1125179,126682,123725
random,imbalanced,100,8,4,5.327,187720,1472176,578038
random,imbalanced,100,8,8,5.413,184726,4597754,801682
random,imbalanced,100,8,16,2.337,427813,3265264,449042
random,imbalanced,100,9,1,1.388,720381,0,0
random,imbalanced,100,9,2,0.73,1368996,109838,107999
random,imbalanced,100,9,4,5.013,199478,1327718,528169
random,imbalanced,100,9,8,4.996,200175,4255374,739380
random,imbalanced,100,9,16,0.703,1421963,356463,55918
